name,sport,height,weight,age,female
Chad Kolarik,Forward,71.0,185.0,32.0,False
David Leggio,Goalie,72.0,185.0,33.0,False
Broc Little,Forward,69.0,170.0,29.0,False
Brandon Maxwell,Goalie,73.0,196.0,26.0,False
John McCarthy,Forward,73.0,195.0,31.0,False
Brian O'Neill,Forward,69.0,174.0,29.0,False
Garrett Roe,Forward,69.0,178.0,29.0,False
Bobby Sanguinetti,Defense,74.0,190.0,29.0,False
Jim Slater,Forward,72.0,200.0,35.0,False
Ryan Stoa,Forward,75.0,210.0,30.0,False
Troy Terry,Forward,72.0,179.0,20.0,False
Noah Welch,Defense,76.0,215.0,35.0,False
James Wisniewski,Defense,72.0,205.0,33.0,False
Ryan Zapolski,Goalie,72.0,203.0,31.0,False
Summer Britcher,Singles,70.0,170.0,23.0,True
Erin Hamlin,Singles,67.0,156.0,31.0,True
Emily Sweeney,Singles,65.0,148.0,24.0,True
Justin Krewson,Doubles,74.0,175.0,21.0,False
Chris Mazdzer,Singles,73.0,215.0,29.0,False
Taylor Morris,Singles,71.0,188.0,26.0,False
Matt Mortensen,Doubles,72.0,192.0,32.0,False
Andrew Sherk,Doubles,68.0,160.0,25.0,False
Jayson Terdiman,Doubles,67.0,160.0,29.0,False
Tucker West,Singles,73.0,195.0,22.0,False
Ben Berend,TBD,69.0,145.0,22.0,False
Taylor Fletcher,TBD,72.0,155.0,27.0,False
Bryan Fletcher,TBD,69.0,140.0,31.0,False
Jasper Good,TBD,74.0,163.0,21.0,False
Ben Loomis,TBD,73.0,160.0,19.0,False
Katie Uhlaender,Women's Individual,64.0,147.0,33.0,True
Kendall Wesenberg,Women's Individual,68.0,152.0,27.0,True
Matt Antoine,Men's Individual,75.0,185.0,32.0,False
John Daly,Men's Individual,69.0,175.0,32.0,False
Nita Englund,Individual Normal Hill,67.0,115.0,25.0,True
Sarah Hendrickson,Individual Normal Hill,64.0,103.0,23.0,True
Abby Ringquist,Individual Normal Hill,68.0,132.0,28.0,True
Kevin Bickner,TBD,72.0,138.0,21.0,False
Michael Glasder,TBD,72.0,150.0,28.0,False
Casey Larson,TBD,70.0,142.0,19.0,False
Will Rhoads,TBD,74.0,153.0,22.0,False
Jamie Anderson,"Slopestyle, Big Air",62.0,133.0,27.0,True
Kelly Clark,Halfpipe,64.0,135.0,34.0,True
Arielle Gold,Halfpipe,64.0,145.0,21.0,True
Faye Gulini,Snowboardcross,64.0,123.0,25.0,True
Lindsey Jacobellis,Snowboardcross,67.0,138.0,32.0,True
Jessika Jenson,"Slopestyle, Big Air",65.0,127.0,36.0,True
Chloe Kim,Halfpipe,63.0,115.0,17.0,True
Hailey Langland,"Slopestyle, Big Air",62.0,110.0,17.0,True
Rosie Mancari,Snowboardcross,68.0,170.0,24.0,True
Julia Marino,"Slopestyle, Big Air",65.0,125.0,20.0,True
Maddie Mastro,Halfpipe,64.0,110.0,17.0,True
Meghan Tierney,Snowboardcross,69.0,130.0,21.0,True
Nick Baumgartner,Snowboardcross,72.0,210.0,36.0,False
Jonathan Cheever,Snowboardcross,70.0,190.0,32.0,False
Chris Corning,"Slopestyle, Big Air",68.0,165.0,18.0,False
Mick Dierdorff,Snowboardcross,69.0,185.0,26.0,False
Ben Ferguson,Halfpipe,69.0,165.0,23.0,False
Red Gerard,"Slopestyle, Big Air",65.0,116.0,17.0,False
Chase Josey,Halfpipe,71.0,155.0,22.0,False
Hagen Kearney,Snowboardcross,74.0,175.0,26.0,False
Kyle Mack,"Slopestyle, Big Air",71.0,170.0,20.0,False
AJ Muss,Parallel Giant Slalom,73.0,220.0,23.0,False
Jake Pates,Halfpipe,67.0,150.0,19.0,False
Ryan Stassel,"Slopestyle, Big Air",71.0,170.0,25.0,False
Mike Trapp,Parallel Giant Slalom,68.0,145.0,29.0,False
Shaun White,Halfpipe,69.0,154.0,31.0,False
Heather Bergsma,"500, 1,000, 1,500, Mass Start, Team Pursuit",71.0,160.0,28.0,True
Brittany Bowe,"500, 1,000, 1,500, Team Pursuit",67.0,140.0,29.0,True
Mia Manganello,"1,500, Mass Start, Team Pursuit",67.0,140.0,28.0,True
Carlijn Schoutens,"3,000, 5,000, Team Pursuit",69.0,153.0,23.0,True
Jerica Tandiman,"1,000",63.0,138.0,23.0,True
Shani Davis,"1,000, 1,500",74.0,185.0,35.0,False
Jonathan Garcia,"500, Team Pursuit",67.0,150.0,31.0,False
Kimani Griffin,500,73.0,178.0,27.0,False
Brian Hansen,"1,500, Mass Start, Team Pursuit",72.0,180.0,27.0,False
Emery Lehman,"5,000, Team Pursuit",72.0,183.0,21.0,False
